Id,Expected
C1=CC(=CC=C1C(C2=CC=C(C=C2)O)C(Cl)(Cl)Cl)O;1644,2
CCCCCCCCC(=O)C;2451,2
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-];1384,2
C1CN(C(=N1)N[N+](=O)[O-])CC2=CN=C(C=C2)Cl;16,2
[Na+].[I-];1856,2
CCCSP(=O)(OCC)SCCC;1646,2
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F;1374,1
C1=C(C=C(C(=C1Br)O)Br)C#N;1611,2
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC;1852,2
CCOC(=O)CC(C(=O)OCC)SP(=O)(OC)OC;1647,2
C1CC2C(O2)CC1C3CO3;40,2
C/C(=N\OC(=O)N(SN(C(=O)O/N=C(/SC)\C)C)C)/SC;1637,2
C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N.O;1857,2
CCOC(=O)CC(C(=O)OCC)SP(=O)(OC)OC;1385,2
C[C@@H]1CN(C[C@@H](N1C2=NC(=NC=C2)[C@@H](C)O)C)C3=NC(=NC(=N3)C)C;23,2
CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)[C@@H]3[C@@H](C3(C)C)/C=C(/C(F)(F)F)\Cl;1378,2
CCN(C1CCCCC1)C(=O)SCC;1386,2
C1=CC=C(C=C1)C(=O)OCCCCCCOC(=O)C2=CC=CC=C2;31,2
B(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3;1852,2
CC(C)(C)C(/C(=C\C1=C(C=C(C=C1)Cl)Cl)/N2C=NC=N2)O;1627,1
CC1=CC2=C(C=C1)NCCC2;37,2
COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC(=C2)CNS(=O)(=O)C)C(=O)OC)OC;32,2
CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N;1636,1
C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)[O-])[NH3+])I)I)O;2447,2
CCC1=C(C(=CC=C1)CC)N;40,2
CC(C)[C@@H](C(=O)N[C@H]1CC2=CC=CC=C2[C@H]3CCC[C@H](N3C1=O)C(=O)O)SC(=O)C;2452,2
CCN(CC(=C)C)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-];1634,2
CCCOC(=O)NCCCN(C)C.Cl;1857,2
C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)O)[C@@H]1CCC2=O;1852,2
CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O;1855,2
